onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.08	5	3	0	1	2	1	357	wash	laundry	1	0.795	1	2	102234	2	1	1	0	0	SHK
5.013	5	3	5	1	2	0	-383	draw	poet	0	0	1	3	102234	2	0	1	0	0	SHK
10.013	5	3	10	1	3	1	608	widow	husband	1	1.389	1	3	102234	2	0	1	0	0	SHK
15.012	5	3	15	1	3	0	-632	mule	scratch	0	0	1	4	102234	2	0	1	0	0	SHK
20.012	5	3	20	2	1	0	0	ƟƱƧƋΦƋ	ƏΓƟΔЖ	0	0	1	1	102234	2	1	2	0	0	SHK
25.011	5	3	25	2	1	0	0	ƩƩƱϞδ	ƘƧƩΦ	0	0	1	2	102234	2	0	2	0	0	SHK
30.011	5	3	30	2	2	1	0	ƱƜϞЖΔŒ	ƱƜϞЖΔŒ	1	0.893	1	2	102234	2	0	2	0	0	SHK
35.01	5	3	35	2	2	1	0	ƩΦƕƟΞ	ƩΦƕƟΞ	1	0.72	1	3	102234	2	0	2	0	0	SHK
40.01	3.333	3	40	1	4	1	892	fountain	thirsty	1	1.254	1	4	102234	2	1	3	0	0	SHK
43.343	3.333	3	43.333	1	4	1	848	tent	wilderness	1	1.187	1	5	102234	2	0	3	0	0	SHK
46.676	3.333	3	46.667	1	5	0	-1114	stroke	quill	1	2.373	0	3	102234	2	0	3	1	0	SHK
50.009	3.333	3	50	1	3	0	-655	brook	rod	1	1.403	0	1	102234	2	0	3	1	0	SHK
53.342	3.333	3	53.333	1	1	1	58	throw	ball	1	0.967	1	1	102234	2	0	3	0	0	SHK
56.675	3.333	3	56.667	1	1	0	-56	write	paper	1	0.786	0	1	102234	2	0	3	1	0	SHK
60.008	3.333	3	60	2	3	0	0	ΦƩƩΘŒƏ	ƕΨƩΘŒƜ	0	0	1	3	102234	2	1	4	0	0	SHK
63.341	3.333	3	63.333	2	3	1	0	ƋΔƱƩΔ	ƋΔƱƩΔ	1	0.706	1	4	102234	2	0	4	0	0	SHK
66.674	3.333	3	66.667	2	4	0	0	ƘΦƟƟƧ	ʖΨƟƟƧ	0	0	1	4	102234	2	0	4	0	0	SHK
70.007	3.333	3	70	2	4	0	0	ΓƕЖƏδ	ƋƕЖƩδ	0	0	1	5	102234	2	0	4	0	0	SHK
73.34	3.333	3	73.333	2	5	1	0	ΞƏΘΦΓδ	ΞƏΘΦΓδ	1	0.798	1	5	102234	2	0	4	0	0	SHK
76.673	3.333	3	76.667	2	5	1	0	ƱΦƜƜΞŒ	ƱΦƜƜΞŒ	1	0.656	1	6	102234	2	0	4	0	0	SHK
80.006	3.333	3	80	1	1	1	13	hold	hand	1	0.939	1	1	102234	2	1	5	0	0	SHK
83.339	3.333	3	83.333	1	1	0	-95	door	swim	0	0	1	2	102234	2	0	5	0	0	SHK
86.672	3.333	3	86.667	1	2	0	-390	tiger	load	0	0	1	2	102234	2	0	5	0	0	SHK
90.005	3.333	3	90	1	2	1	274	mug	coffee	1	0.87	1	3	102234	2	0	5	0	0	SHK
93.338	3.333	3	93.333	1	3	1	421	fork	napkin	1	1.329	1	3	102234	2	0	5	0	0	SHK
96.671	3.333	3	96.667	1	3	0	-474	medal	ocean	0	0	1	4	102234	2	0	5	0	0	SHK
100.004	3.333	3	100	2	6	0	0	ƋƋƱƘƧ	ƋƟƱƱƧ	0	0	1	6	102234	2	1	6	0	0	SHK
103.337	3.333	3	103.333	2	6	1	0	ΘƘƩƏ	ΘƘƩƏ	1	0.604	1	7	102234	2	0	6	0	0	SHK
106.67	3.333	3	106.667	2	7	0	0	ƩϞδδΔ	ƩϞƕδΔ	1	0.72	0	5	102234	2	0	6	1	0	SHK
110.003	3.333	3	110	2	5	1	0	ƩƘΘΓƕ	ƩƘΘΓƕ	1	0.804	1	5	102234	2	0	6	0	0	SHK
113.336	3.333	3	113.333	2	5	0	0	ΞŒƘŒʖ	ϞŒƘŒʖ	1	1.775	0	3	102234	2	0	6	1	0	SHK
116.669	3.333	3	116.667	2	3	1	0	ΓƱʖƱ	ΓƱʖƱ	1	0.795	1	3	102234	2	0	6	0	0	SHK
120.002	3.333	3	120	1	4	0	-785	flush	weigh	0	0	1	4	102234	2	1	7	0	0	SHK
123.335	3.333	3	123.333	1	4	1	887	mammal	reptile	1	1.743	1	5	102234	2	0	7	0	0	SHK
126.668	3.333	3	126.667	1	5	0	-1223	retreat	strength	0	0	1	5	102234	2	0	7	0	0	SHK
130.001	3.333	3	130	1	5	1	1074	temperature	thermometer	1	0.891	1	6	102234	2	0	7	0	0	SHK
133.351	3.333	3	133.333	1	6	0	-1345	triumph	messenger	0	0	1	6	102234	2	0	7	0	0	SHK
136.684	3.333	3	136.667	1	6	1	1399	keel	mast	1	0.99	1	7	102234	2	0	7	0	0	SHK
140.017	3.333	3	140	2	3	1	0	δƕƏΦΓƋΨ	δƕƏΦΓƋΨ	1	2.25	1	4	102234	2	1	8	0	0	SHK
143.35	3.333	3	143.333	2	4	0	0	ϞŒʖϞЖƕƕ	ƘŒʖƟЖƕƕ	0	0	1	4	102234	2	0	8	0	0	SHK
146.683	3.333	3	146.667	2	4	0	0	ΘЖƋΞΨƩƏ	ƟЖƜΞΨƩƏ	0	0	1	5	102234	2	0	8	0	0	SHK
150.016	3.333	3	150	2	5	1	0	ƜƟϞƩƧΨΞ	ƜƟϞƩƧΨΞ	1	1.968	1	5	102234	2	0	8	0	0	SHK
153.349	3.333	3	153.333	2	5	0	0	ƟƱƋƧƕϞΨ	ƟƱƋƧƕϞƘ	0	0	1	6	102234	2	0	8	0	0	SHK
156.682	3.333	3	156.667	2	6	1	0	ŒƱʖΞƋϞƱЖ	ŒƱʖΞƋϞƱЖ	1	2.983	1	6	102234	2	0	8	0	0	SHK
160.015	2.222	3	160	1	7	1	1742	retain	relinquish	0	0	0	5	102234	2	1	9	0	1	SHK
162.231	2.222	3	162.222	1	5	1	1257	slope	incline	1	1.409	1	5	102234	2	0	9	0	0	SHK
164.448	2.222	3	164.444	1	5	0	-1033	pineapple	cockpit	0	0	1	6	102234	2	0	9	0	0	SHK
166.681	2.222	3	166.667	1	6	0	-1351	instrument	innocence	0	0	1	6	102234	2	0	9	0	0	SHK
168.897	2.222	3	168.889	1	6	1	1362	captive	hostage	1	0.897	1	7	102234	2	0	9	0	0	SHK
171.114	2.222	3	171.111	1	7	1	1729	carnage	grisly	1	1.004	1	7	102234	2	0	9	0	0	SHK
173.347	2.222	3	173.333	1	7	0	-1863	rhapsody	profiteer	0	0	1	7	102234	2	0	9	0	0	SHK
175.563	2.222	3	175.556	1	7	1	1855	reformation	dogma	0	0	0	5	102234	2	0	9	0	1	SHK
177.78	2.222	3	177.778	1	5	0	-1026	truth	serf	0	0	1	5	102234	2	0	9	0	0	SHK
180.013	2.222	3	180	2	6	1	0	ƕδƟƘΦδƋ	ƕδƟƘΦδƋ	0	0	0	4	102234	2	1	10	0	1	SHK
182.229	2.222	3	182.222	2	4	0	0	ƱƜΘƱϞΔЖΨ	ΦƜΘƱϞδЖΨ	1	1.85	0	2	102234	2	0	10	1	0	SHK
184.446	2.222	3	184.444	2	2	1	0	δЖΔƧƟƕƟƟ	δЖΔƧƟƕƟƟ	1	1.83	1	2	102234	2	0	10	0	0	SHK
186.679	2.222	3	186.667	2	2	0	0	ƜЖƱƋŒΞƟ	ƱΘϞЖƱΞƘ	0	0	1	3	102234	2	0	10	0	0	SHK
188.895	2.222	3	188.889	2	3	1	0	ƱδϞƜŒʖΘ	ƱδϞƜŒʖΘ	1	1.003	1	3	102234	2	0	10	0	0	SHK
