onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.047	5	3	0	1	1	0	-16	family	leg	0	0	1	1	110328	1	1	1	0	0	TYO
5.014	5	3	5	1	1	1	98	cookie	sugar	1	1.183	1	2	110328	1	0	1	0	0	TYO
10.014	5	3	10	1	2	0	-393	pocket	menu	0	0	1	2	110328	1	0	1	0	0	TYO
15.013	5	3	15	1	2	1	249	pet	hamster	1	0.962	1	3	110328	1	0	1	0	0	TYO
20.013	5	3	20	2	1	1	0	δΨƩЖƟ	δΨƩЖƟ	1	2.463	1	1	110328	1	1	2	0	0	TYO
25.013	5	3	25	2	1	1	0	ΨƟƩƧΘ	ΨƟƩƧΘ	1	3.447	1	2	110328	1	0	2	0	0	TYO
30.013	5	3	30	2	2	0	0	ƱƧƋΦƋ	ƏΓƟΔЖ	0	0	1	2	110328	1	0	2	0	0	TYO
35.012	5	3	35	2	2	0	0	ΘƩƩƱ	ϞδƘƧ	0	0	1	3	110328	1	0	2	0	0	TYO
40.012	3.333	3	40	1	3	0	-561	sofa	harbor	0	0	1	3	110328	1	1	3	0	0	TYO
43.345	3.333	3	43.333	1	3	0	-621	elephant	height	1	2.576	0	1	110328	1	0	3	1	0	TYO
46.678	3.333	3	46.667	1	1	1	89	sign	pen	1	2.541	1	1	110328	1	0	3	0	0	TYO
50.012	3.333	3	50	1	1	0	-96	radio	pie	0	0	1	2	110328	1	0	3	0	0	TYO
53.345	3.333	3	53.333	1	2	1	268	shape	form	1	1.506	1	2	110328	1	0	3	0	0	TYO
56.678	3.333	3	56.667	1	2	1	143	camp	tent	1	1.12	1	3	110328	1	0	3	0	0	TYO
60.011	3.333	3	60	2	3	0	0	ΓΦΓʖ	ΔΦƱΦ	0	0	1	3	110328	1	1	4	0	0	TYO
63.344	3.333	3	63.333	2	3	0	0	ϞΘΓŒƕ	ΦΘΓƩƩ	0	0	1	4	110328	1	0	4	0	0	TYO
66.677	3.333	3	66.667	2	4	1	0	ƏƏƕƩΨ	ƏƏƕƩΨ	1	2.355	1	4	110328	1	0	4	0	0	TYO
70.011	3.333	3	70	2	4	1	0	ϞƋΔƱƩ	ϞƋΔƱƩ	1	1.991	1	5	110328	1	0	4	0	0	TYO
73.344	3.333	3	73.333	2	5	0	0	ƱƘΦƟƟ	ƱƘΦƟϞ	0	0	1	5	110328	1	0	4	0	0	TYO
