onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.073	3.333	3	0	1	3	0	-549	snap	pound	0	0	1	3	101146	1	1	1	0	0	DSH
3.339	3.333	3	3.333	1	3	1	645	pan	skillet	1	0.697	1	4	101146	1	0	1	0	0	DSH
6.672	3.333	3	6.667	1	4	0	-748	dew	laundry	0	0	1	4	101146	1	0	1	0	0	DSH
10.005	3.333	3	10	1	4	0	-835	trumpet	beak	0	0	1	5	101146	1	0	1	0	0	DSH
13.338	3.333	3	13.333	1	5	1	1284	bore	amuse	0	0	0	3	101146	1	0	1	0	1	DSH
16.671	3.333	3	16.667	1	3	1	641	saddle	mule	1	1.66	1	3	101146	1	0	1	0	0	DSH
20.004	3.333	3	20	2	3	0	0	ƋΓΨƟƩƧ	ƟΓƱƟƩƋ	0	0	1	3	101146	1	1	2	0	0	DSH
23.337	3.333	3	23.333	2	3	1	0	ƏΓƟΔ	ƏΓƟΔ	1	0.784	1	4	101146	1	0	2	0	0	DSH
26.67	3.333	3	26.667	2	4	0	0	δΘƩƩƱ	ƘΘƧƩƱ	0	0	1	4	101146	1	0	2	0	0	DSH
30.004	3.333	3	30	2	4	1	0	ΦƟƟƱƜ	ΦƟƟƱƜ	1	0.787	1	5	101146	1	0	2	0	0	DSH
33.337	3.333	3	33.333	2	5	1	0	ЖΔŒʖƩ	ЖΔŒʖƩ	1	1.647	1	5	101146	1	0	2	0	0	DSH
36.67	3.333	3	36.667	2	5	0	0	ƟΞЖƕƜ	ΦΞЖƕƜ	1	1.235	0	3	101146	1	0	2	1	0	DSH
40.003	3.333	3	40	1	3	0	-569	stumble	glass	0	0	1	4	101146	1	1	3	0	0	DSH
43.336	3.333	3	43.333	1	4	1	983	span	length	1	1.65	1	4	101146	1	0	3	0	0	DSH
46.669	3.333	3	46.667	1	4	1	791	armor	knight	1	0.882	1	5	101146	1	0	3	0	0	DSH
