onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.037	2	3	0	1	7	0	-1933	embezzlement	detestation	0	0	1	7	91916	1	1	1	0	0	XSZ
2.004	2	3	2	1	7	1	1731	guilt	absolution	0	0	0	5	91916	1	0	1	0	1	XSZ
4.004	2	3	4	1	5	0	-1109	surprise	tripod	0	0	1	5	91916	1	0	1	0	0	XSZ
6.003	2	3	6	1	5	0	-1036	tennis	consequence	0	0	1	6	91916	1	0	1	0	0	XSZ
8.003	2	3	8	1	6	1	1414	magician	illusion	1	1.102	1	6	91916	1	0	1	0	0	XSZ
10.003	2	3	10	1	6	0	-1338	frock	haul	0	0	1	7	91916	1	0	1	0	0	XSZ
12.003	2	3	12	1	7	1	1784	magnitude	amplitude	0	0	0	5	91916	1	0	1	0	1	XSZ
14.003	2	3	14	1	5	0	-1251	surface	honeycomb	0	0	1	5	91916	1	0	1	0	0	XSZ
16.003	2	3	16	1	5	1	1210	pew	pulpit	1	1.746	1	6	91916	1	0	1	0	0	XSZ
18.003	2	3	18	1	6	0	-1352	design	prow	0	0	1	6	91916	1	0	1	0	0	XSZ
20.003	2	3	20	2	7	0	0	ƩΨƕƜΓΔΦ	ƩΨƕƜΓƋΦ	1	1.039	0	5	91916	1	1	2	1	0	XSZ
22.003	2	3	22	2	5	0	0	ƟƘƕƧƧƩΦ	ƟƘƕƧƧƩŒ	1	1.122	0	3	91916	1	0	2	1	0	XSZ
24.003	2	3	24	2	3	1	0	ƏƩΔƘƧƜƜ	ƏƩΔƘƧƜƜ	1	1.046	1	3	91916	1	0	2	0	0	XSZ
26.002	2	3	26	2	3	1	0	ΞƩƧƏƏƏƩ	ΞƩƧƏƏƏƩ	1	0.903	1	4	91916	1	0	2	0	0	XSZ
28.002	2	3	28	2	4	0	0	ƟƜƧƜƜƘΔƟ	ƟƜƧƜƧƘΔʖ	0	0	1	4	91916	1	0	2	0	0	XSZ
30.002	2	3	30	2	4	0	0	ΞƏΘΘƟŒƩΘ	ƩʖΘΘƟŒƩΘ	0	0	1	5	91916	1	0	2	0	0	XSZ
32.002	2	3	32	2	5	1	0	ŒʖƘϞƱƩƜ	ŒʖƘϞƱƩƜ	1	1.432	1	5	91916	1	0	2	0	0	XSZ
34.002	2	3	34	2	5	0	0	ʖƕƏδƜƜƩ	ƘƕƏδƜƜƩ	1	1.678	0	3	91916	1	0	2	1	0	XSZ
36.002	2	3	36	2	3	0	0	δƟƩδƟƜΨƱ	ƩƟϞδƟƜΨƩ	0	0	1	3	91916	1	0	2	0	0	XSZ
