onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.068	5	3	0	1	1	1	97	eye	sight	1	1.104	1	1	142507	1	1	1	0	0	DUR
5.001	5	3	5	1	1	0	-16	family	leg	0	0	1	2	142507	1	0	1	0	0	DUR
10.017	5	3	10	1	2	1	398	shark	whale	1	0.929	1	2	142507	1	0	1	0	0	DUR
15.016	5	3	15	1	2	0	-393	pocket	menu	0	0	1	3	142507	1	0	1	0	0	DUR
20.016	5	3	20	2	1	1	0	ƜδΨƩЖ	ƜδΨƩЖ	1	1.167	1	1	142507	1	1	2	0	0	DUR
25.015	5	3	25	2	1	1	0	ƋΓΨƟƩ	ƋΓΨƟƩ	1	0.975	1	2	142507	1	0	2	0	0	DUR
30.015	5	3	30	2	2	0	0	ΘƟƱƧƋ	ΦƋƏΓƟ	0	0	1	2	142507	1	0	2	0	0	DUR
35.015	5	3	35	2	2	0	0	ƋδΘƩƩ	ƱϞδƘƧ	0	0	1	3	142507	1	0	2	0	0	DUR
40.014	3.333	3	40	1	3	0	-561	sofa	harbor	0	0	1	3	142507	1	1	3	0	0	DUR
43.347	3.333	3	43.333	1	3	0	-621	elephant	height	0	0	1	4	142507	1	0	3	0	0	DUR
46.68	3.333	3	46.667	1	4	1	984	estate	property	1	1.088	1	4	142507	1	0	3	0	0	DUR
50.013	3.333	3	50	1	4	0	-1005	flyer	oxygen	0	0	1	5	142507	1	0	3	0	0	DUR
53.346	3.333	3	53.333	1	5	1	1185	fever	exhaustion	0	0	0	3	142507	1	0	3	0	1	DUR
56.679	3.333	3	56.667	1	3	1	449	disease	cancer	1	1.227	1	3	142507	1	0	3	0	0	DUR
60.012	3.333	3	60	2	3	0	0	ΦΓΦΓʖΨ	ƱΓƘΓʖϞ	0	0	1	3	142507	1	1	4	0	0	DUR
63.345	3.333	3	63.333	2	3	0	0	ŒƕΨΦƩƩΘ	ƏƕΨƏƩƩƕ	0	0	1	4	142507	1	0	4	0	0	DUR
66.678	3.333	3	66.667	2	4	1	0	ƜŒϞƋΔƱƩ	ƜŒϞƋΔƱƩ	1	0.921	1	4	142507	1	0	4	0	0	DUR
70.011	3.333	3	70	2	4	1	0	ƕƱƘΦƟƟ	ƕƱƘΦƟƟ	1	2.501	1	5	142507	1	0	4	0	0	DUR
