onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.07	3.333	3	0	1	4	0	-861	paragraph	capital	0	0	1	4	133120	1	1	1	0	0	FSC
3.336	3.333	3	3.333	1	4	1	957	pause	brief	0	0	0	2	133120	1	0	1	0	1	FSC
6.669	3.333	3	6.667	1	2	0	-144	river	doll	0	0	1	2	133120	1	0	1	0	0	FSC
10.002	3.333	3	10	1	2	0	-230	soap	plan	0	0	1	3	133120	1	0	1	0	0	FSC
13.335	3.333	3	13.333	1	3	1	687	scratch	itch	1	1.082	1	3	133120	1	0	1	0	0	FSC
16.668	3.333	3	16.667	1	3	1	648	saddle	mule	1	1.336	1	4	133120	1	0	1	0	0	FSC
20.001	3.333	3	20	2	2	0	0	ƟƋΓΨƟƩ	ƧΘƟƱƧƋ	0	0	1	2	133120	1	1	2	0	0	FSC
23.334	3.333	3	23.333	2	2	1	0	ƋƏΓƟΔ	ƋƏΓƟΔ	1	1.834	1	3	133120	1	0	2	0	0	FSC
26.667	3.333	3	26.667	2	3	0	0	ƋδΘƩƩƱ	δδƘƩƩƧ	0	0	1	3	133120	1	0	2	0	0	FSC
30.017	3.333	3	30	2	3	1	0	ƟƟƱƜϞ	ƟƟƱƜϞ	1	1.53	1	4	133120	1	0	2	0	0	FSC
33.35	3.333	3	33.333	2	4	1	0	ΔŒʖƩΦƕ	ΔŒʖƩΦƕ	1	2.233	1	4	133120	1	0	2	0	0	FSC
36.683	3.333	3	36.667	2	4	0	0	ЖƕƜƜΦΓ	ʖƕƜƜΨΓ	1	1.991	0	2	133120	1	0	2	1	0	FSC
40.016	3.333	3	40	1	4	1	828	mist	dew	1	1.012	1	4	133120	1	1	3	0	0	FSC
43.349	3.333	3	43.333	1	4	1	886	glutton	eat	1	0.956	1	5	133120	1	0	3	0	0	FSC
46.682	3.333	3	46.667	1	5	0	-1041	gallon	sprint	0	0	1	5	133120	1	0	3	0	0	FSC
50.015	3.333	3	50	1	5	0	-1034	nation	genuine	0	0	1	6	133120	1	0	3	0	0	FSC
53.348	3.333	3	53.333	1	6	1	1486	albatross	perch	0	0	0	4	133120	1	0	3	0	1	FSC
56.681	3.333	3	56.667	1	4	0	-950	allow	amuse	0	0	1	4	133120	1	0	3	0	0	FSC
60.014	3.333	3	60	2	2	0	0	ƜŒϞƋΔƱ	ƩΔƕƱƘΦ	0	0	1	2	133120	1	1	4	0	0	FSC
63.347	3.333	3	63.333	2	2	1	0	ƧϞƏʖΨƱ	ƧϞƏʖΨƱ	1	1.647	1	3	133120	1	0	4	0	0	FSC
66.68	3.333	3	66.667	2	3	1	0	ƕЖƏδƜЖ	ƕЖƏδƜЖ	1	2.157	1	3	133120	1	0	4	0	0	FSC
70.013	3.333	3	70	2	3	0	0	ƩΓΞƏΘ	ΓδΞƏΨ	0	0	1	4	133120	1	0	4	0	0	FSC
73.346	3.333	3	73.333	2	4	0	0	ΦƜƜΞŒ	ΦΞƜΞƘ	0	0	1	4	133120	1	0	4	0	0	FSC
76.678	3.333	3	76.667	2	4	1	0	δƏʖƜƱʖ	δƏʖƜƱʖ	1	1.671	1	5	133120	1	0	4	0	0	FSC
80.011	2.857	3	80	1	4	1	737	cheat	steal	1	1.801	1	5	133120	1	1	5	0	0	FSC
82.861	2.857	3	82.857	1	5	0	-1302	decay	recall	0	0	1	5	133120	1	0	5	0	0	FSC
85.728	2.857	3	85.714	1	5	0	-1255	circuit	ambulance	0	0	1	6	133120	1	0	5	0	0	FSC
88.577	2.857	3	88.571	1	6	1	1472	career	ambition	1	1.011	1	6	133120	1	0	5	0	0	FSC
91.444	2.857	3	91.429	1	6	0	-1457	sane	thistle	0	0	1	7	133120	1	0	5	0	0	FSC
94.293	2.857	3	94.286	1	7	1	1766	vaccination	inoculation	1	1.107	1	7	133120	1	0	5	0	0	FSC
97.16	2.857	3	97.143	1	7	0	-1723	flourish	agility	0	0	1	7	133120	1	0	5	0	0	FSC
