onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.036	2.5	3	0	1	7	0	-1734	depict	impartial	0	0	1	7	161903	1	1	1	0	0	SGN
2.503	2.5	3	2.5	1	7	0	-1816	derelict	minstrel	0	0	1	7	161903	1	0	1	0	0	SGN
5.002	2.5	3	5	1	7	1	1688	mystery	enigma	1	1.03	1	7	161903	1	0	1	0	0	SGN
7.502	2.5	3	7.5	1	7	1	1855	mutilation	brutality	1	2.177	1	7	161903	1	0	1	0	0	SGN
10.002	2.5	3	10	1	7	0	-1704	slang	aptitude	0	0	1	7	161903	1	0	1	0	0	SGN
12.502	2.5	3	12.5	1	7	0	-1910	intellect	discoloration	0	0	1	7	161903	1	0	1	0	0	SGN
15.002	2.5	3	15	1	7	1	1712	prophet	unbeliever	1	1.004	1	7	161903	1	0	1	0	0	SGN
17.502	2.5	3	17.5	1	7	1	1864	docile	receptive	1	1.507	1	7	161903	1	0	1	0	0	SGN
20.002	2.5	3	20	2	4	0	0	ΦƏŒƟƕδƘƘ	ΦƏŒƟΨδƘʖ	1	2.346	0	2	161903	1	1	2	1	0	SGN
22.501	2.5	3	22.5	2	2	0	0	ƜƘϞϞƟƩΘƟ	δΓΓΦƘŒƕΞ	0	0	1	2	161903	1	0	2	0	0	SGN
25.001	2.5	3	25	2	2	1	0	ΔƜΨƘϞƘƕƘ	ΔƜΨƘϞƘƕƘ	1	0.972	1	3	161903	1	0	2	0	0	SGN
27.501	2.5	3	27.5	2	3	0	0	ƧƕЖʖƜƜƏδ	ΘƕЖƩƜƜƏƘ	0	0	1	3	161903	1	0	2	0	0	SGN
30.001	2.5	3	30	2	3	1	0	ЖƱƜƟƏƕƕΞϞ	ЖƱƜƟƏƕƕΞϞ	1	1.447	1	4	161903	1	0	2	0	0	SGN
32.501	2.5	3	32.5	2	4	1	0	ƟƧƕΔƜŒΦƋ	ƟƧƕΔƜŒΦƋ	1	1.861	1	4	161903	1	0	2	0	0	SGN
35.017	2.5	3	35	2	4	0	0	δƟΘƧΘƟƧδ	ΦƟƱƧΘƟƧδ	1	2.321	0	2	161903	1	0	2	1	0	SGN
37.517	2.5	3	37.5	2	2	1	0	ΞΘƩΘΓƩΘʖ	ΞΘƩΘΓƩΘʖ	1	0.981	1	2	161903	1	0	2	0	0	SGN
40.017	2.857	3	40	1	7	0	-1801	maternity	inaction	0	0	1	7	161903	1	1	3	0	0	SGN
42.867	2.857	3	42.857	1	7	1	1913	uncertainty	bewilderment	0	0	0	5	161903	1	0	3	0	1	SGN
45.717	2.857	3	45.714	1	5	1	1231	junction	railroad	1	1.395	1	5	161903	1	0	3	0	0	SGN
48.583	2.857	3	48.571	1	5	0	-1195	shutter	admire	0	0	1	6	161903	1	0	3	0	0	SGN
51.433	2.857	3	51.429	1	6	0	-1573	rumor	brisket	0	0	1	6	161903	1	0	3	0	0	SGN
54.3	2.857	3	54.286	1	6	1	1593	equality	democracy	1	1.131	1	7	161903	1	0	3	0	0	SGN
57.149	2.857	3	57.143	1	7	1	1931	aweigh	boatswain	1	2.274	1	7	161903	1	0	3	0	0	SGN
60.016	2.857	3	60	2	2	1	0	ƘЖƕϞΓʖϞΨ	ƘЖƕϞΓʖϞΨ	1	1.581	1	3	161903	1	1	4	0	0	SGN
62.866	2.857	3	62.857	2	3	0	0	ΓƧŒʖƟƏƘƟ	ΞƧŒʖƟЖƘƩ	0	0	1	3	161903	1	0	4	0	0	SGN
65.716	2.857	3	65.714	2	3	1	0	ΨŒƋƜΞϞΓʖ	ΨŒƋƜΞϞΓʖ	1	1.525	1	4	161903	1	0	4	0	0	SGN
68.582	2.857	3	68.571	2	4	0	0	ƘƋƘΘƋϞƱƜ	ƱƘƘΘƋϞƱƜ	0	0	1	4	161903	1	0	4	0	0	SGN
71.432	2.857	3	71.429	2	4	1	0	ƕƟϞƕδƜϞΞ	ƕƟϞƕδƜϞΞ	0	0	0	2	161903	1	0	4	0	1	SGN
74.298	2.857	3	74.286	2	2	1	0	ʖŒƘδʖΨƏƜ	ʖŒƘδʖΨƏƜ	1	1.313	1	2	161903	1	0	4	0	0	SGN
77.148	2.857	3	77.143	2	2	0	0	ƘŒƏΨƧƧƏ	ΞΨЖΞƩƕƱ	0	0	1	3	161903	1	0	4	0	0	SGN
80.015	2.5	3	80	1	7	1	1660	graceful	gait	1	2.041	1	7	161903	1	1	5	0	0	SGN
82.515	2.5	3	82.5	1	7	0	-1933	embezzlement	detestation	0	0	1	7	161903	1	0	5	0	0	SGN
85.014	2.5	3	85	1	7	0	-1730	vertical	abandonment	0	0	1	7	161903	1	0	5	0	0	SGN
