onset	duration	paradigm	intendedOnset	cond	difficulty	match	item	item1	item2	response	rt	correct	newDifficulty	runIdNum	rep	newblock	blocknum	falsePos	falseNeg	subject
0.052	3.333	3	0	1	4	1	723	cruiser	ship	1	1.147	1	4	150203	1	1	1	0	0	FCU
3.335	3.333	3	3.333	1	4	0	-733	dresser	surf	0	0	1	5	150203	1	0	1	0	0	FCU
6.668	3.333	3	6.667	1	5	1	1115	dome	cathedral	1	0.956	1	5	150203	1	0	1	0	0	FCU
10.001	3.333	3	10	1	5	0	-1180	magician	mast	0	0	1	6	150203	1	0	1	0	0	FCU
13.334	3.333	3	13.333	1	6	0	-1524	gavel	frock	1	2.069	0	4	150203	1	0	1	1	0	FCU
16.668	3.333	3	16.667	1	4	1	837	private	personal	1	2.705	1	4	150203	1	0	1	0	0	FCU
20.001	3.333	3	20	2	2	0	0	ЖƕΔƜƘƩδ	ƏΦƱΦδƕϞ	0	0	1	2	150203	1	1	2	0	0	FCU
23.334	3.333	3	23.333	2	2	1	0	ΨƘЖʖƟΦƟ	ΨƘЖʖƟΦƟ	1	1.006	1	3	150203	1	0	2	0	0	FCU
26.684	3.333	3	26.667	2	3	0	0	ƏΦʖƟΓΔ	ƟΦʖƟƋƘ	0	0	1	3	150203	1	0	2	0	0	FCU
30.017	3.333	3	30	2	3	0	0	ΨƋϞδϞƩ	ƩƋƋδϞƱ	0	0	1	4	150203	1	0	2	0	0	FCU
33.35	3.333	3	33.333	2	4	1	0	ϞƱΔƘƱƧ	ϞƱΔƘƱƧ	1	0.835	1	4	150203	1	0	2	0	0	FCU
36.683	3.333	3	36.667	2	4	1	0	ΦƩƱΦƏŒ	ΦƩƱΦƏŒ	1	0.744	1	5	150203	1	0	2	0	0	FCU
40.017	2.857	3	40	1	4	1	900	lumber	timber	1	1.033	1	5	150203	1	1	3	0	0	FCU
42.867	2.857	3	42.857	1	5	1	1196	brilliant	genius	1	0.901	1	5	150203	1	0	3	0	0	FCU
45.716	2.857	3	45.714	1	5	0	-1183	crime	gleam	0	0	1	6	150203	1	0	3	0	0	FCU
